Danh mục gộp Station,,,
Nhóm,Sector,Station,Ghi chú
GAV,SGNPER,BIO,
GAV,SGNPER,LIS,
GAV,SGNPER,MAD,
GAV,SGNPER,OPO,
GAV,SGNPER,VIT,
GAV,SGNPER,VLC,
GAV,SGNPER,ZAZ,
GAV,SGNSYD,ALC,
GAV,SGNSYD,BCN,
GAV,SGNSYD,BIO,
GAV,SGNSYD,LIS,
GAV,SGNSYD,MAD,
GAV,SGNSYD,OPO,
GAV,SGNSYD,VIT,
GAV,SGNSYD,VLC,
GAV,SGNSYD,ZAZ,
GBE,HANMEL,BRU,
GBE,HANMEL,BTS,
GBE,HANMEL,BUD,
GBE,HANMEL,KBP,
GBE,HANMEL,KRK,
GBE,HANMEL,KTW,
GBE,HANMEL,WAW,
GBE,HANSYD,BRU,
GBE,HANSYD,BTS,
GBE,HANSYD,BUD,
GBE,HANSYD,KBP,
GBE,HANSYD,KRK,
GBE,HANSYD,KTW,
GBE,HANSYD,WAW,
GBE,SGNMEL,BRU,
GBE,SGNMEL,BTS,
GBE,SGNMEL,BUD,
GBE,SGNMEL,KBP,
GBE,SGNMEL,KRK,
GBE,SGNMEL,KTW,
GBE,SGNMEL,WAW,
GBE,SGNPER,BRU,
GBE,SGNPER,BTS,
GBE,SGNPER,BUD,
GBE,SGNPER,KBP,
GBE,SGNPER,KRK,
GBE,SGNPER,KTW,
GBE,SGNPER,WAW,
GBE,SGNSYD,BRU,
GBE,SGNSYD,BTS,
GBE,SGNSYD,BUD,
GBE,SGNSYD,KBP,
GBE,SGNSYD,KRK,
GBE,SGNSYD,KTW,
GBE,SGNSYD,WAW,
HAN,HANCDG,DAD,
HAN,HANCDG,SGN,
HAN,HANFRA,DAD,
HAN,HANFRA,SGN,
HAN,HANHND,DAD,
HAN,HANHND,SGN,
HAN,HANICN,DAD,
HAN,HANICN,SGN,
HAN,HANKIX,DAD,
HAN,HANKIX,HAN,
HAN,HANKIX,SGN,
HAN,HANLHR,DAD,
HAN,HANLHR,SGN,
HAN,HANMUC,DAD,
HAN,HANMUC,SGN,
HAN,HANMXP,DAD,
HAN,HANMXP,SGN,
HAN,HANNRT,SGN,
HAN,HANSVO,SGN,
JPN,HANBOM,FUK,
JPN,HANBOM,HND,
JPN,HANBOM,KIX,
JPN,HANBOM,NGO,
JPN,HANBOM,NRT,
JPN,HANCDG,FUK,
JPN,HANCDG,KIX,
JPN,HANCDG,NGO,
JPN,HANCDG,NRT,
JPN,HANDEL,NGO,
JPN,HANDEL,NRT,
JPN,HANFRA,FUK,
JPN,HANFRA,KIX,
JPN,HANFRA,NGO,
JPN,HANFRA,NRT,
JPN,HANMUC,NGO,
JPN,HANMUC,NRT,
JPN,SGNCDG,FUK,
JPN,SGNCDG,KIX,
JPN,SGNCDG,NGO,
JPN,SGNCDG,NRT,
JPN,SGNDEL,NGO,
JPN,SGNDEL,NRT,
JPN,SGNFRA,KIX,
JPN,SGNFRA,NGO,
JPN,SGNFRA,NRT,
JPN,SGNMUC,NGO,
JPN,SGNMUC,NRT,
LHR,HANMEL,MAN,
LHR,HANSYD,BFS,
LHR,HANSYD,MAN,
LHR,SGNMEL,MAN,
LHR,SGNPER,MAN,
LHR,SGNSYD,BFS,
LHR,SGNSYD,MAN,
OTH,HANBKK,DEL,
OTH,HANBOM,SIN,
OTH,HANCDG,BKK,
OTH,HANDEL,BKK,
OTH,HANDEL,PNH,
OTH,HANDEL,SIN,
OTH,HANDEL,TPE,
OTH,HANFRA,BKK,
OTH,HANICN,BKK,
OTH,HANICN,BOM,
OTH,HANICN,DEL,
OTH,HANICN,PNH,
OTH,HANICN,SIN,
OTH,HANKIX,DEL,
OTH,HANLHR,BKK,
OTH,HANMEL,BKK,
OTH,HANMEL,BOM,
OTH,HANMEL,DEL,
OTH,HANMEL,KHH,
OTH,HANMEL,SIN,
OTH,HANMEL,TPE,
OTH,HANNGO,LYS,
OTH,HANNRT,BKK,
OTH,HANNRT,BOM,
OTH,HANNRT,DEL,
OTH,HANNRT,PNH,
OTH,HANNRT,SIN,
OTH,HANNRT,VTE,
OTH,HANPUS,CDG,
OTH,HANPUS,EOF,
OTH,HANPUS,FRA,
OTH,HANPUS,SIN,
OTH,HANPVG,BOM,
OTH,HANPVG,DEL,
OTH,HANPVG,PNH,
OTH,HANRGN,SGN,
OTH,HANSIN,BOM,
OTH,HANSIN,DEL,
OTH,HANSIN,ICN,
OTH,HANSIN,PNH,
OTH,HANSYD,BKK,
OTH,HANSYD,BOM,
OTH,HANSYD,DEL,
OTH,HANSYD,KHH,
OTH,HANSYD,SIN,
OTH,HANSYD,TPE,
OTH,HANVTE,SGN,
OTH,SGNBKK,DAD,
OTH,SGNCDG,BKK,
OTH,SGNCDG,DEL,
OTH,SGNCDG,KUL,
OTH,SGNCGK,CNY,
OTH,SGNDEL,BKK,
OTH,SGNDEL,PNH,
OTH,SGNDEL,SIN,
OTH,SGNDEL,TPE,
