STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
CAN,CDG,JAN,VN011,Châu Âu,SGNCDG,350,D4,2,1,500.00,"5,000.00",2.8,2.8,"14,000.00",,,,,,,,,,,,,
CAN,CDG,JAN,VN019,Châu Âu,HANCDG,350,D5,2,1,500.00,"5,000.00",2.8,2.8,"14,000.00",,,,,,,,,,,,,
CAN,CDG,JAN,VN019,Châu Âu,HANCDG,350,D6,2,1,500.00,"4,000.00",2.8,2.8,"11,200.00",,,,,,,,,,,,,
CAN,CDG,JAN,VN011,Châu Âu,SGNCDG,350,D6,3,1,500.00,"6,000.00",2.8,2.8,"16,800.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D1,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN011,Châu Âu,SGNCDG,350,D1,4,1,500.00,"8,000.00",2.3,2.3,"18,400.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN011,Châu Âu,SGNCDG,350,D2,1,1,500.00,"2,000.00",2.3,2.3,"4,600.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"6,000.00",2.3,2.3,"13,800.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D3,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D4,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN011,Châu Âu,SGNCDG,350,D4,4,1,500.00,"8,000.00",2.3,2.3,"18,400.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D5,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D6,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN011,Châu Âu,SGNCDG,350,D6,4,1,500.00,"8,000.00",2.3,2.3,"18,400.00",,,,,,,,,,,,,
CAN,CDG,FEB,VN019,Châu Âu,HANCDG,350,D7,2,1,500.00,"4,000.00",2.3,2.3,"9,200.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D1,2,1,500.00,"5,000.00",2.7,2.7,"13,500.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN011,Châu Âu,SGNCDG,350,D2,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D2,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D3,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D4,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN011,Châu Âu,SGNCDG,350,D4,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D5,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D6,1,1,500.00,"2,500.00",2.7,2.7,"6,750.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN011,Châu Âu,SGNCDG,350,D6,1,1,500.00,"2,500.00",2.7,2.7,"6,750.00",,,,,,,,,,,,,
CAN,CDG,MAR,VN019,Châu Âu,HANCDG,350,D7,1,1,500.00,"2,500.00",2.7,2.7,"6,750.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D1,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,APR,VN011,Châu Âu,SGNCDG,350,D1,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,APR,VN011,Châu Âu,SGNCDG,350,D2,1,1,500.00,"2,500.00",2.7,2.7,"6,750.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"7,500.00",2.7,2.7,"20,250.00",,,,,,,,,,,,,
